name,nominations,wins
Lenny Abrahamson,1,0
Woody Allen,6,1
Pedro Almodóvar,1,0
Robert Altman,5,0
Michael Anderson,1,0
Paul Thomas Anderson,2,0
Wes Anderson,1,0
Michelangelo Antonioni,1,0
Darren Aronofsky,1,0
Hal Ashby,1,0
Richard Attenborough,0,1
John G. Avildsen,0,1
Hector Babenco,1,0
Lionel Barrymore,1,0
Warren Beatty,1,1
Harry Beaumont,1,0
Roberto Benigni,1,0
Robert Benton,1,1
Bruce Beresford,1,0
Ingmar Bergman,3,0
Bernardo Bertolucci,1,1
Kathryn Bigelow,0,1
Peter Bogdanovich,1,0
John Boorman,2,0
Frank Borzage,0,2
Danny Boyle,0,1
Kenneth Branagh,1,0
Herbert Brenon,1,0
Martin Brest,1,0
James L. Brooks,0,1
Richard Brooks,3,0
Clarence Brown,5,0
Michael Cacoyannis,1,0
James Cameron,1,1
Jane Campion,1,0
Frank Capra,3,3
Jack Cardiff,1,0
John Cassavetes,1,0
Peter Cattaneo,1,0
Charles Chaplin,0,1
Damien Chazelle,0,1
Michael Cimino,0,1
Jack Clayton,1,0
George Clooney,1,0
Ethan Coen,1,1
Joel Coen,2,1
Francis Ford Coppola,3,1
Sofia Coppola,1,0
Costa-Gavras,1,0
Kevin Costner,0,1
Charles Crichton,1,0
Alfonso Cuarón,0,1
George Cukor,4,1
Irving Cummings,1,0
Michael Curtiz,3,1
Stephen Daldry,3,0
Lee Daniels,1,0
Jules Dassin,1,0
Guillermo del Toro,0,1
Cecil B. DeMille,1,0
Jonathan Demme,0,1
William Dieterle,1,0
Edward Dmytryk,1,0
Clint Eastwood,2,2
Atom Egoyan,1,0
John Farrow,1,0
Federico Fellini,4,0
Mike Figgis,1,0
David Fincher,2,0
Victor Fleming,0,1
John Ford,1,4
Milos Forman,1,2
Bob Fosse,2,1
Sidney Franklin,1,0
Stephen Frears,2,0
William Friedkin,1,1
Pietro Germi,1,0
Greta Gerwig,1,0
Mel Gibson,1,1
Tony Gilroy,1,0
Peter Glenville,1,0
Alejandro González Iñárritu,1,2
Paul Greengrass,1,0
Taylor Hackford,1,0
Paul Haggis,1,0
Alexander Hall,1,0
Lasse Hallström,2,0
Michael Haneke,1,0
Curtis Hanson,1,0
Anthony Harvey,1,0
Henry Hathaway,1,0
Howard Hawks,1,0
Michel Hazanavicius,0,1
Buck Henry,1,0
Scott Hicks,1,0
George Roy Hill,1,1
Arthur Hiller,1,0
Alfred Hitchcock,5,0
Tom Hooper,0,1
Ron Howard,1,1
Hugh Hudson,1,0
John Huston,4,1
James Ivory,3,0
Peter Jackson,1,1
Barry Jenkins,1,0
Norman Jewison,3,0
Roland Joffé,2,0
Spike Jonze,1,0
Neil Jordan,1,0
Elia Kazan,3,2
Krzysztof Kieslowski,1,0
Henry King,2,0
Henry Koster,1,0
Stanley Kramer,3,0
Stanley Kubrick,4,0
Akira Kurosawa,1,0
Gregory La Cava,2,0
Walter Lang,1,0
David Lean,5,2
Ang Lee,1,2
J. Lee Thompson,1,0
Mike Leigh,2,0
Claude Lelouch,1,0
Robert Z. Leonard,2,0
